     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
   Số ngày tồn kho bình quân Số ngày thanh toán bình quân Chu kỳ tiền   
0                  26.768267                    84.675766  188.553714   
1                  18.156283                    83.575352  181.274884   
2                  20.527797                    91.724545  189.138854   
3                  16.129009                    81.572676  170.655596   
4                  11.036430                    45.339050  100.874316   
5                  11.119374                    36.739889   88.688814   
6                  11.052717                    43.711905  106.884684   
7                  10.621375                    41.197601  113.620263   
8                  11.613128                    41.291186  124.569719   
9                  23.201254                    57.370650  189.347342   
10                 70.815818                    68.323499  253.207512   

                          Chỉ tiêu cơ cấu nguồn vốn                           \
   Vòng quay hàng tồn kho          (Vay NH+DH)/VCSH   Nợ/VCSH TSCĐ / Vốn CSH   
0               13.635548                  0.144667  0.872815       0.141619   
1               20.103233                  0.311180  1.057681       0.198005   
2               17.780768                  0.044511  0.515800       0.189685   
3               22.630033                  0.102539  0.548344       0.227336   
4               33.072289                  0.168205  0.640930       0.273086   
5               32.825589                  0.193314  0.566393       0.221527   
6               33.023553                  0.197528  0.663476       0.277465   
7               34.364666                  0.320575  0.704053       0.264156   
8               31.429948                  0.246599  0.559184       0.212191   
9               15.731908                  0.241071  0.430819       0.348073   
10               5.154216                  0.221581  0.380684       0.515469   

                        
   Vốn CSH/Vốn điều lệ  
0             1.120717  
1             1.054584  
2             1.396764  
3             1.427051  
4             1.415140  
5             1.421728  
6             1.246003  
7             1.216772  
8             1.206919  
9             1.190720  
10            1.214541  
