    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
         Chỉ tiêu thanh khoản                             \
  Chỉ số thanh toán hiện thời Chỉ số thanh toán tiền mặt   
0                    1.399240                   0.088108   
1                    1.280449                   0.029678   
2                    0.000000                   0.000000   
3                    1.247054                   0.110127   
4                    1.393352                   0.178239   
5                    1.263413                   0.047818   
6                    1.241390                   0.104435   
7                    1.246644                   0.051317   
8                    1.188077                   0.182212   
9                    1.192802                   0.105018   

                                                                      \
  Chỉ số thanh toán nhanh Khả năng chi trả lãi vay Đòn bẩy tài chính   
0                1.205607               -11.521805          2.644342   
1                1.013380                -3.368112          2.918168   
2                0.000000                -1.504620          2.541074   
3                1.092943                -3.450253          3.913891   
4                1.279412                -2.939612          3.145615   
5                1.090841                -2.107132          4.188521   
6                0.961560                -2.087647          4.221050   
7                1.073280                -0.109372          4.180574   
8                1.076188                -1.213131          5.230146   
9                1.031482                -1.224459          5.033371   

  Chỉ tiêu hiệu quả hoạt động                                            \
            Vòng quay tài sản Vòng quay TSCĐ Số ngày thu tiền bình quân   
0                    2.987611      46.370085                  74.990259   
1                    3.490524      43.804818                  59.006105   
2                    0.000000       0.000000                   0.000000   
3                    2.285998     174.935088                 108.998365   
4                    2.192498     789.308904                 117.900419   
5                    2.277593     523.532727                 108.524363   
6                    2.444240     397.313603                 100.997494   
7                    1.656855     249.331324                 154.684245   
8                    1.748179     255.047887                 140.387822   
9                    2.038861     174.432963                 116.984771   

                                                                      \
  Số ngày tồn kho bình quân Số ngày thanh toán bình quân Chu kỳ tiền   
0                 20.972855                    57.139008  153.102122   
1                 21.206688                    48.640483  128.853276   
2                  0.000000                     0.000000    0.000000   
3                 17.544564                    59.991327  186.534256   
4                 20.278210                    60.678749  198.857378   
5                 30.560784                    71.209645  210.294793   
6                 28.480012                    58.737957  188.215463   
7                 26.239037                    80.375194  261.298476   
8                 24.048438                    78.143632  242.579893   
9                 26.566789                    58.420383  201.971943   

                         Chỉ tiêu cơ cấu nguồn vốn                           \
  Vòng quay hàng tồn kho          (Vay NH+DH)/VCSH   Nợ/VCSH TSCĐ / Vốn CSH   
0              17.403449                  0.175933  1.644342       0.152715   
1              17.211551                  0.176913  1.918168       0.208852   
2               0.000000                  0.000000  0.000000       0.228406   
3              20.804164                  0.918144  2.913891       0.083727   
4              17.999617                  0.962047  2.145615       0.006799   
5              11.943411                  1.119928  3.188521       0.013654   
6              12.816006                  0.895847  3.221050       0.023121   
7              13.910571                  1.506773  3.180574       0.028720   
8              15.177701                  2.105435  4.230146       0.033830   
9              13.738958                  2.029880  4.033371       0.036547   

                       
  Vốn CSH/Vốn điều lệ  
0            1.439887  
1            1.220416  
2            1.114656  
3            1.004033  
4            0.953535  
5            0.915502  
6            0.879102  
7            0.833809  
8            0.845864  
9            0.834792  
