     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
   Chỉ tiêu hiệu quả hoạt động                                            \
             Vòng quay tài sản Vòng quay TSCĐ Số ngày thu tiền bình quân   
0                     3.089733      18.879955                  16.162631   
1                     3.487865      20.095857                  10.935733   
2                     3.690111      21.037120                   7.300445   
3                     3.634112      19.167789                   7.646734   
4                     3.737957      23.033157                   7.768836   
5                     3.318820      25.114195                   8.852149   
6                     3.387551      24.239606                   8.573801   
7                     3.036076      22.446225                   8.844605   
8                     2.895941      38.079868                  10.825903   
9                     2.408078      46.040143                  15.227290   
10                    2.340181      24.545917                  16.821029   

                                                                       \
   Số ngày tồn kho bình quân Số ngày thanh toán bình quân Chu kỳ tiền   
0                  57.346644                    17.989557   91.498832   
1                  51.418540                    23.110091   85.464364   
2                  48.197083                    30.375707   85.873235   
3                  46.531476                    36.093981   90.272191   
4                  43.676568                    32.511008   83.956412   
5                  43.507828                    30.855483   83.215460   
6                  32.938833                    25.044561   66.557195   
7                  34.601006                    24.820421   68.266032   
8                  34.124713                    22.060877   67.011493   
9                  43.534353                    25.733740   84.495383   
10                 41.392922                    27.324900   85.538851   

                          Chỉ tiêu cơ cấu nguồn vốn                           \
   Vòng quay hàng tồn kho          (Vay NH+DH)/VCSH   Nợ/VCSH TSCĐ / Vốn CSH   
0                6.364801                  0.668975  0.875331       0.281119   
1                7.098607                  0.408739  0.766101       0.314936   
2                7.573072                  0.392614  0.866907       0.315499   
3                7.844153                  0.209026  0.990873       0.361506   
4                8.356884                  0.144707  0.774056       0.352460   
5                8.389295                  0.394176  1.084873       0.278034   
6               11.081146                  0.509805  1.309540       0.302365   
7               10.548826                  0.253287  1.039457       0.304822   
8               10.696061                  0.393926  1.139192       0.258598   
9                8.384183                  0.023290  0.758715       0.035016   
10               8.817933                  0.124709  0.872073       0.152120   

                        
   Vốn CSH/Vốn điều lệ  
0             1.346037  
1             1.339360  
2             1.321275  
3             1.287496  
4             1.275064  
5             1.364797  
6             1.211527  
7             1.248102  
8             1.175693  
9             1.142138  
10            1.200458  
